Rank;Name;City;Country;Height_m;Height_ft;Floors;Built
1;Burj Khalifa;Dubai;UAE;828;2717;163;2010
2;Shanghai Tower;Shanghai;China;632;2073;121;2015
3;Makkah Royal Clock Tower Hotel;Mecca;Saudi Arabia;601;1971;120;2012
4;One World Trade Center;New York;USA;541.3;1776;104;2014
5;CTF Finance Centre;Guangzhou;China;530;1740;111;2016
6;Taipei 101;Taipei;Taiwan;509;1670;101;2004
7;Shanghai World Financial Center;Shanghai;China;492;1614;101;2008
8;International Commerce Centre;Hong Kong;Hong Kong;484;1588;118;2010
9;Petronas Tower 1;Kuala Lumpur;Malaysia;452;1483;88;1998
9;Petronas Tower 2;Kuala Lumpur;Malaysia;452;1483;88;1998
11;Zifeng Tower;Nanjing;China;450;1476;89;2010
12;Willis Tower (Formerly Sears Tower);Chicago;USA;442;1450;108;1973
13;KK100;Shenzhen;China;442;1449;100;2011
14;Guangzhou International Finance Center;Guangzhou;China;440;1440;103;2010
15;432 Park Avenue;New York;USA;426;1397;85;2015
16;Trump International Hotel and Tower;Chicago;USA;423;1389;98;2009
17;Jin Mao Tower;Shanghai;China;421;1380;88;1999
18;Princess Tower;Dubai;UAE;414;1358;101;2012
19;Al Hamra Tower;Kuwait City;Kuwait;413;1354;80;2011
20;2 International Finance Centre;Hong Kong;Hong Kong;412;1352;88;2003
21;23 Marina;Dubai;UAE;395;1296;89;2012
22;CITIC Plaza;Guangzhou;China;391;1283;80;1997
23;Shun Hing Square;Shenzhen;China;384;1260;69;1996
24;Central Market Project;Abu Dhabi;UAE;381;1251;88;2012
25;Empire State Building;New York;USA;381;1250;102;1931
26;Elite Residence;Dubai;UAE;380.5;1247;87;2012
27;Tuntex Sky Tower;Kaohsiung;Taiwan;378;1240;85;1997
28;Central Plaza;Hong Kong;Hong Kong;374;1227;78;1992
29;Bank of China Tower;Hong Kong;Hong Kong;367;1205;70;1990
30;Bank of America Tower;New York;USA;366;1200;54;2009
31;Almas Tower;Dubai;UAE;363;1191;68;2009
32;The Pinnacle;Guangzhou;China;360;1181;60;2012
