State;Abbreviation;Capital;Population;Area;House Seats
District of Columbia;DC;Washington;672228;176;1
Rhode Island;RI;Providence;1056298;4002;2
Delaware;DE;Dover;945934;6446;1
New Hampshire;NH;Concord;1330608;24214;2
Vermont;VT;Montpelier;626042;24905;1
Hawaii;HI;Honolulu;1431603;28314;2
Maine;ME;Augusta;1329328;91634;2
Indiana;IN;Indianapolis;6619680;94327;9
Connecticut;CT;Hartford;3590886;14356;5
New Jersey;NJ;Trenton;8958013;22592;12
West Virgina;WV;Charleston;1844128;62755;3
South Carolina;SC;Columbia;4896146;82931;7
Maryland;MD;Annapolis;6006401;32131;8
Massachusetts;MA;Boston;6794422;27335;9
Arizona;AZ;Phoenix;6828065;295233;9
Ohio;OH;Columbus;11613423;116099;16
Michigan;MI;Lansing;9922576;250488;14
Iowa;IA;Des Moines;3123899;145746;4
Colorado;CO;Denver;5456574;269602;7
Washington;WA;Olympia;7170351;184661;10
Kansas;KS;Topeka;2911641;213099;4
North Carolina;NC;Raleigh;10042802;139391;13
Nebraska;NE;Lincoln;1896190;200330;3
Wyoming;WY;Cheyenne;586107;253335;1
Minnesota;MN;St. Paul;5489594;225163;8
Texas;TX;Austin;27469114;695660;36
New York;NY;Albany;19795791;141297;27
Nevada;NV;Carson City;2890845;286380;4
California;CA;Sacramento;39144818;423968;53
Tennessee;TN;Nashville;6600299;109152;9
Louisiana;LA;Baton Rouge;4670724;135658;6
Kentucky;KY;Frankfort;4425092;104656;6
Idaho;ID;Boise;1654930;216443;2
Missouri;MO;Jefferson City;6083672;180540;8
Wisconsin;WI;Madison;5771337;169634;8
Arkansas;AR;Little Rock;2978204;137733;4
Florida;FL;Tallahassee;20271272;170312;27
Oklahoma;OK;Oklahoma City;3911338;181038;5
South Dakota;SD;Pierre;858469;199730;1
Pennsylvania;PA;Harrisburg;12802503;119279;18
Montana;MT;Helena;1032949;380832;1
Mississippi;MS;Jackson;2992333;125438;4
North Dakota;ND;Bismarck;756927;183107;1
Alabama;AL;Montgomery;4858979;135767;7
Georgia;GA;Atlanta;10214860;153910;14
Oregon;OR;Salem;4028977;254800;5
Illinois;IL;Springfield;12859995;149997;18
Utah;UT;Salt Lake City;2995919;219882;4
New Mexico;NM;Santa Fe;2085109;314917;3
Virginia;VA;Richmond;8382993;110787;11
Alaska;AK;Juneau;738432;1723337;1
